event_id,event_ts,region,asset_id,event_type,severity,duration_minutes,source_system,last_updated_ts
GE02001,2026-05-05 00:00:00,SOUTH,ASSET_017,ALARM,MEDIUM,33,GRID_FEED_2,2026-05-05 00:00:00
GE02002,2026-05-05 00:07:00,SOUTH,ASSET_006,OUTAGE,CRITICAL,164,GRID_FEED_2,2026-05-05 00:07:00
GE02003,2026-05-05 00:14:00,SOUTH,ASSET_024,OUTAGE,CRITICAL,132,GRID_FEED_2,2026-05-05 00:14:00
GE02004,2026-05-05 00:21:00,SOUTH,ASSET_040,FLUCTUATION,CRITICAL,142,GRID_FEED_2,2026-05-05 00:21:00
GE02005,2026-05-05 00:28:00,SOUTH,ASSET_025,OUTAGE,MEDIUM,87,GRID_FEED_2,2026-05-05 00:28:00
GE02006,2026-05-05 00:35:00,SOUTH,ASSET_037,FLUCTUATION,MEDIUM,39,GRID_FEED_2,2026-05-05 00:35:00
GE02007,2026-05-05 00:42:00,SOUTH,ASSET_012,OUTAGE,CRITICAL,80,GRID_FEED_2,2026-05-05 00:42:00
GE02008,2026-05-05 00:49:00,SOUTH,ASSET_020,MAINTENANCE,HIGH,162,GRID_FEED_2,2026-05-05 00:49:00
GE02009,2026-05-05 00:56:00,SOUTH,ASSET_012,OUTAGE,MEDIUM,53,GRID_FEED_2,2026-05-05 00:56:00
GE02010,2026-05-05 01:03:00,SOUTH,ASSET_001,ALARM,LOW,119,GRID_FEED_2,2026-05-05 01:03:00
GE02011,2026-05-05 01:10:00,SOUTH,ASSET_032,MAINTENANCE,LOW,157,GRID_FEED_2,2026-05-05 01:10:00
GE02012,2026-05-05 01:17:00,SOUTH,ASSET_032,FLUCTUATION,MEDIUM,152,GRID_FEED_2,2026-05-05 01:17:00
GE02013,2026-05-05 01:24:00,SOUTH,ASSET_031,MAINTENANCE,CRITICAL,115,GRID_FEED_2,2026-05-05 01:24:00
GE02014,2026-05-05 01:31:00,SOUTH,ASSET_006,OUTAGE,MEDIUM,142,GRID_FEED_2,2026-05-05 01:31:00
GE02015,2026-05-05 01:38:00,SOUTH,ASSET_018,FLUCTUATION,LOW,49,GRID_FEED_2,2026-05-05 01:38:00
GE02016,2026-05-05 01:45:00,SOUTH,ASSET_010,OUTAGE,HIGH,11,GRID_FEED_2,2026-05-05 01:45:00
GE02017,2026-05-05 01:52:00,SOUTH,ASSET_010,OUTAGE,HIGH,86,GRID_FEED_2,2026-05-05 01:52:00
GE02018,2026-05-05 01:59:00,SOUTH,ASSET_006,OUTAGE,LOW,108,GRID_FEED_2,2026-05-05 01:59:00
GE02019,2026-05-05 02:06:00,SOUTH,ASSET_012,FLUCTUATION,HIGH,158,GRID_FEED_2,2026-05-05 02:06:00
GE02020,2026-05-05 02:13:00,SOUTH,ASSET_039,FLUCTUATION,CRITICAL,150,GRID_FEED_2,2026-05-05 02:13:00
