event_id,event_ts,region,asset_id,event_type,severity,duration_minutes,source_system,last_updated_ts
GE09001,2026-05-07 00:00:00,WEST,ASSET_030,ALARM,CRITICAL,59,GRID_FEED_1,2026-05-07 00:00:00
GE09002,2026-05-07 00:07:00,WEST,ASSET_036,MAINTENANCE,HIGH,111,GRID_FEED_1,2026-05-07 00:07:00
GE09003,2026-05-07 00:14:00,WEST,ASSET_013,OUTAGE,CRITICAL,175,GRID_FEED_1,2026-05-07 00:14:00
GE09004,2026-05-07 00:21:00,WEST,ASSET_024,FLUCTUATION,LOW,174,GRID_FEED_1,2026-05-07 00:21:00
GE09005,2026-05-07 00:28:00,WEST,ASSET_032,OUTAGE,CRITICAL,114,GRID_FEED_1,2026-05-07 00:28:00
GE09006,2026-05-07 00:35:00,WEST,ASSET_034,OUTAGE,LOW,38,GRID_FEED_1,2026-05-07 00:35:00
GE09007,2026-05-07 00:42:00,WEST,ASSET_026,MAINTENANCE,LOW,45,GRID_FEED_1,2026-05-07 00:42:00
GE09008,2026-05-07 00:49:00,WEST,ASSET_005,ALARM,MEDIUM,88,GRID_FEED_1,2026-05-07 00:49:00
GE09009,2026-05-07 00:56:00,WEST,ASSET_013,MAINTENANCE,LOW,61,GRID_FEED_1,2026-05-07 00:56:00
GE09010,2026-05-07 01:03:00,WEST,ASSET_028,MAINTENANCE,HIGH,150,GRID_FEED_1,2026-05-07 01:03:00
GE09011,2026-05-07 01:10:00,WEST,ASSET_038,ALARM,CRITICAL,93,GRID_FEED_1,2026-05-07 01:10:00
GE09012,2026-05-07 01:17:00,WEST,ASSET_031,MAINTENANCE,CRITICAL,132,GRID_FEED_1,2026-05-07 01:17:00
GE09013,2026-05-07 01:24:00,WEST,ASSET_018,FLUCTUATION,CRITICAL,29,GRID_FEED_1,2026-05-07 01:24:00
GE09014,2026-05-07 01:31:00,WEST,ASSET_008,ALARM,CRITICAL,129,GRID_FEED_1,2026-05-07 01:31:00
GE09015,2026-05-07 01:38:00,WEST,ASSET_015,FLUCTUATION,LOW,27,GRID_FEED_1,2026-05-07 01:38:00
GE09016,2026-05-07 01:45:00,WEST,ASSET_004,OUTAGE,CRITICAL,175,GRID_FEED_1,2026-05-07 01:45:00
GE09017,2026-05-07 01:52:00,WEST,ASSET_002,FLUCTUATION,CRITICAL,156,GRID_FEED_1,2026-05-07 01:52:00
GE09018,2026-05-07 01:59:00,WEST,ASSET_021,FLUCTUATION,HIGH,161,GRID_FEED_1,2026-05-07 01:59:00
GE09019,2026-05-07 02:06:00,WEST,ASSET_040,OUTAGE,LOW,171,GRID_FEED_1,2026-05-07 02:06:00
GE09020,2026-05-07 02:13:00,WEST,ASSET_034,MAINTENANCE,CRITICAL,53,GRID_FEED_1,2026-05-07 02:13:00
GE09021,2026-05-07 02:20:00,WEST,ASSET_019,MAINTENANCE,CRITICAL,131,GRID_FEED_1,2026-05-07 02:20:00
GE09022,2026-05-07 02:27:00,WEST,ASSET_017,ALARM,LOW,10,GRID_FEED_1,2026-05-07 02:27:00
GE09023,2026-05-07 02:34:00,WEST,ASSET_028,OUTAGE,CRITICAL,117,GRID_FEED_1,2026-05-07 02:34:00
GE09024,2026-05-07 02:41:00,WEST,ASSET_021,MAINTENANCE,CRITICAL,119,GRID_FEED_1,2026-05-07 02:41:00
GE09025,2026-05-07 02:48:00,WEST,ASSET_003,OUTAGE,MEDIUM,144,GRID_FEED_1,2026-05-07 02:48:00
GE09026,2026-05-07 02:55:00,WEST,ASSET_020,FLUCTUATION,CRITICAL,112,GRID_FEED_1,2026-05-07 02:55:00
GE09027,2026-05-07 03:02:00,WEST,ASSET_009,ALARM,CRITICAL,126,GRID_FEED_1,2026-05-07 03:02:00
GE09028,2026-05-07 03:09:00,WEST,ASSET_008,MAINTENANCE,CRITICAL,123,GRID_FEED_1,2026-05-07 03:09:00
GE09029,2026-05-07 03:16:00,WEST,ASSET_036,FLUCTUATION,LOW,102,GRID_FEED_1,2026-05-07 03:16:00
GE09030,2026-05-07 03:23:00,WEST,ASSET_017,MAINTENANCE,CRITICAL,159,GRID_FEED_1,2026-05-07 03:23:00
GE09031,2026-05-07 03:30:00,WEST,ASSET_023,ALARM,HIGH,17,GRID_FEED_1,2026-05-07 03:30:00
GE09032,2026-05-07 03:37:00,WEST,ASSET_002,OUTAGE,MEDIUM,95,GRID_FEED_1,2026-05-07 03:37:00
GE09033,2026-05-07 03:44:00,WEST,ASSET_023,OUTAGE,HIGH,99,GRID_FEED_1,2026-05-07 03:44:00
GE09034,2026-05-07 03:51:00,WEST,ASSET_007,MAINTENANCE,HIGH,93,GRID_FEED_1,2026-05-07 03:51:00
