event_id,event_ts,region,asset_id,event_type,severity,duration_minutes,source_system,last_updated_ts
GE08001,2026-05-07 00:00:00,EAST,ASSET_012,MAINTENANCE,MEDIUM,53,GRID_FEED_2,2026-05-07 00:00:00
GE08002,2026-05-07 00:07:00,EAST,ASSET_012,MAINTENANCE,HIGH,143,GRID_FEED_2,2026-05-07 00:07:00
GE08003,2026-05-07 00:14:00,EAST,ASSET_032,OUTAGE,HIGH,151,GRID_FEED_2,2026-05-07 00:14:00
GE08004,2026-05-07 00:21:00,EAST,ASSET_020,MAINTENANCE,CRITICAL,59,GRID_FEED_2,2026-05-07 00:21:00
GE08005,2026-05-07 00:28:00,EAST,ASSET_002,OUTAGE,MEDIUM,69,GRID_FEED_2,2026-05-07 00:28:00
GE08006,2026-05-07 00:35:00,EAST,ASSET_020,MAINTENANCE,LOW,169,GRID_FEED_2,2026-05-07 00:35:00
GE08007,2026-05-07 00:42:00,EAST,ASSET_019,MAINTENANCE,MEDIUM,127,GRID_FEED_2,2026-05-07 00:42:00
GE08008,2026-05-07 00:49:00,EAST,ASSET_016,OUTAGE,LOW,72,GRID_FEED_2,2026-05-07 00:49:00
GE08009,2026-05-07 00:56:00,EAST,ASSET_032,OUTAGE,HIGH,150,GRID_FEED_2,2026-05-07 00:56:00
GE08010,2026-05-07 01:03:00,EAST,ASSET_031,MAINTENANCE,HIGH,162,GRID_FEED_2,2026-05-07 01:03:00
GE08011,2026-05-07 01:10:00,EAST,ASSET_031,OUTAGE,HIGH,133,GRID_FEED_2,2026-05-07 01:10:00
GE08012,2026-05-07 01:17:00,EAST,ASSET_037,OUTAGE,HIGH,43,GRID_FEED_2,2026-05-07 01:17:00
GE08013,2026-05-07 01:24:00,EAST,ASSET_038,OUTAGE,MEDIUM,83,GRID_FEED_2,2026-05-07 01:24:00
GE08014,2026-05-07 01:31:00,EAST,ASSET_030,FLUCTUATION,HIGH,43,GRID_FEED_2,2026-05-07 01:31:00
GE08015,2026-05-07 01:38:00,EAST,ASSET_004,ALARM,HIGH,109,GRID_FEED_2,2026-05-07 01:38:00
GE08016,2026-05-07 01:45:00,EAST,ASSET_023,OUTAGE,HIGH,76,GRID_FEED_2,2026-05-07 01:45:00
GE08017,2026-05-07 01:52:00,EAST,ASSET_034,OUTAGE,MEDIUM,162,GRID_FEED_2,2026-05-07 01:52:00
GE08018,2026-05-07 01:59:00,EAST,ASSET_012,OUTAGE,MEDIUM,141,GRID_FEED_2,2026-05-07 01:59:00
GE08019,2026-05-07 02:06:00,EAST,ASSET_021,ALARM,HIGH,71,GRID_FEED_2,2026-05-07 02:06:00
GE08020,2026-05-07 02:13:00,EAST,ASSET_024,OUTAGE,HIGH,38,GRID_FEED_2,2026-05-07 02:13:00
GE08021,2026-05-07 02:20:00,EAST,ASSET_001,FLUCTUATION,HIGH,97,GRID_FEED_2,2026-05-07 02:20:00
GE08022,2026-05-07 02:27:00,EAST,ASSET_032,MAINTENANCE,HIGH,43,GRID_FEED_2,2026-05-07 02:27:00
GE08023,2026-05-07 02:34:00,EAST,ASSET_007,FLUCTUATION,MEDIUM,130,GRID_FEED_2,2026-05-07 02:34:00
GE08024,2026-05-07 02:41:00,EAST,ASSET_015,FLUCTUATION,LOW,108,GRID_FEED_2,2026-05-07 02:41:00
GE08025,2026-05-07 02:48:00,EAST,ASSET_030,OUTAGE,LOW,35,GRID_FEED_2,2026-05-07 02:48:00
GE08026,2026-05-07 02:55:00,EAST,ASSET_002,MAINTENANCE,HIGH,81,GRID_FEED_2,2026-05-07 02:55:00
GE08027,2026-05-07 03:02:00,EAST,ASSET_024,FLUCTUATION,CRITICAL,154,GRID_FEED_2,2026-05-07 03:02:00
GE08028,2026-05-07 03:09:00,EAST,ASSET_034,ALARM,MEDIUM,79,GRID_FEED_2,2026-05-07 03:09:00
GE08029,2026-05-07 03:16:00,EAST,ASSET_002,OUTAGE,MEDIUM,34,GRID_FEED_2,2026-05-07 03:16:00
GE08030,2026-05-07 03:23:00,EAST,ASSET_010,FLUCTUATION,HIGH,34,GRID_FEED_2,2026-05-07 03:23:00
GE08031,2026-05-07 03:30:00,EAST,ASSET_014,FLUCTUATION,LOW,110,GRID_FEED_2,2026-05-07 03:30:00
GE08032,2026-05-07 03:37:00,EAST,ASSET_008,OUTAGE,LOW,125,GRID_FEED_2,2026-05-07 03:37:00
GE08033,2026-05-07 03:44:00,EAST,ASSET_028,OUTAGE,MEDIUM,29,GRID_FEED_2,2026-05-07 03:44:00
GE08034,2026-05-07 03:51:00,EAST,ASSET_003,OUTAGE,CRITICAL,32,GRID_FEED_2,2026-05-07 03:51:00
GE08035,2026-05-07 03:58:00,EAST,ASSET_017,OUTAGE,LOW,79,GRID_FEED_2,2026-05-07 03:58:00
GE08036,2026-05-07 04:05:00,EAST,ASSET_001,OUTAGE,LOW,156,GRID_FEED_2,2026-05-07 04:05:00
GE08037,2026-05-07 04:12:00,EAST,ASSET_014,FLUCTUATION,MEDIUM,173,GRID_FEED_2,2026-05-07 04:12:00
GE08038,2026-05-07 04:19:00,EAST,ASSET_023,OUTAGE,LOW,39,GRID_FEED_2,2026-05-07 04:19:00
GE08039,2026-05-07 04:26:00,EAST,ASSET_018,ALARM,HIGH,43,GRID_FEED_2,2026-05-07 04:26:00
GE08040,2026-05-07 04:33:00,EAST,ASSET_033,FLUCTUATION,LOW,27,GRID_FEED_2,2026-05-07 04:33:00
GE08041,2026-05-07 04:40:00,EAST,ASSET_038,OUTAGE,MEDIUM,51,GRID_FEED_2,2026-05-07 04:40:00
GE08042,2026-05-07 04:47:00,EAST,ASSET_019,FLUCTUATION,LOW,27,GRID_FEED_2,2026-05-07 04:47:00
GE08043,2026-05-07 04:54:00,EAST,ASSET_014,MAINTENANCE,HIGH,180,GRID_FEED_2,2026-05-07 04:54:00
GE08044,2026-05-07 05:01:00,EAST,ASSET_038,FLUCTUATION,CRITICAL,174,GRID_FEED_2,2026-05-07 05:01:00
GE08045,2026-05-07 05:08:00,EAST,ASSET_007,FLUCTUATION,HIGH,99,GRID_FEED_2,2026-05-07 05:08:00
GE08046,2026-05-07 05:15:00,EAST,ASSET_028,FLUCTUATION,MEDIUM,106,GRID_FEED_2,2026-05-07 05:15:00
GE08047,2026-05-07 05:22:00,EAST,ASSET_008,ALARM,LOW,121,GRID_FEED_2,2026-05-07 05:22:00
GE08048,2026-05-07 05:29:00,EAST,ASSET_008,FLUCTUATION,CRITICAL,94,GRID_FEED_2,2026-05-07 05:29:00
GE08049,2026-05-07 05:36:00,EAST,ASSET_019,OUTAGE,LOW,85,GRID_FEED_2,2026-05-07 05:36:00
GE08050,2026-05-07 05:43:00,EAST,ASSET_032,OUTAGE,CRITICAL,74,GRID_FEED_2,2026-05-07 05:43:00
